iso3,country,F_ParliamentSeats,M_ParliamentSeats
AFG,Afghanistan,27.21518987,72.78481013
AGO,Angola,29.54545455,70.45454545
ALB,Albania,35.71428571,64.28571429
AND,Andorra,46.42857143,53.57142857
ARE,United Arab Emirates,50,50
ARG,Argentina,44.3768997,55.6231003
ARM,Armenia,33.64485981,66.35514019
ATG,Antigua and Barbuda,31.42857143,68.57142857
AUS,Australia,37.88546256,62.11453744
AUT,Austria,39.3442623,60.6557377
AZE,Azerbaijan,18.18181818,81.81818182
BDI,Burundi,38.88888889,61.11111111
BEL,Belgium,42.85714286,57.14285714
BEN,Benin,8.43373494,91.56626506
BFA,Burkina Faso,6.299212598,93.7007874
BGD,Bangladesh,20.85714286,79.14285714
BGR,Bulgaria,23.75,76.25
BHR,Bahrain,18.75,81.25
BHS,Bahamas,20,80
BIH,Bosnia and Herzegovina,24.56140351,75.43859649
BLR,Belarus,34.70588235,65.29411765
BLZ,Belize,19.56521739,80.43478261
BOL,Bolivia (Plurinational State of),48.19277108,51.80722892
BRA,Brazil,14.81481481,85.18518519
BRB,Barbados,29.41176471,70.58823529
BRN,Brunei Darussalam,9.090909091,90.90909091
BTN,Bhutan,16.66666667,83.33333333
BWA,Botswana,10.76923077,89.23076923
CAF,Central African Republic,12.85714286,87.14285714
CAN,Canada,34.41860465,65.58139535
CHE,Switzerland,39.83739837,60.16260163
CHL,Chile,32.68292683,67.31707317
CHN,China,24.94117647,75.05882353
CIV,Cأ´te d'Ivoire,15.58073654,84.41926346
CMR,Cameroon,31.07142857,68.92857143
COD,Congo (Democratic Republic of the),14.28571429,85.71428571
COG,Congo,13.63636364,86.36363636
COL,Colombia,19.63636364,80.36363636
COM,Comoros,16.66666667,83.33333333
CPV,Cabo Verde,38.88888889,61.11111111
CRI,Costa Rica,45.61403509,54.38596491
CUB,Cuba,53.41296928,46.58703072
CYP,Cyprus,14.28571429,85.71428571
CZE,Czechia,22.06405694,77.93594306
DEU,Germany,34.7826087,65.2173913
DJI,Djibouti,26.15384615,73.84615385
DMA,Dominica,34.375,65.625
DNK,Denmark,39.66480447,60.33519553
DOM,Dominican Republic,25.67567568,74.32432432
DZA,Algeria,7.481751825,92.51824818
ECU,Ecuador,39.41605839,60.58394161
EGY,Egypt,22.86995516,77.13004484
ERI,Eritrea,22,78
ESP,Spain,42.27642276,57.72357724
EST,Estonia,25.74257426,74.25742574
ETH,Ethiopia,39.543058,60.456942
FIN,Finland,46,54
FJI,Fiji,21.56862745,78.43137255
FRA,France,37.83783784,62.16216216
FSM,Micronesia (Federated States of),7.142857143,92.85714286
GAB,Gabon,18.66028708,81.33971292
GBR,United Kingdom,31.08013937,68.91986063
GEO,Georgia,19.33333333,80.66666667
GHA,Ghana,14.54545455,85.45454545
GIN,Guinea,16.66666667,83.33333333
GMB,Gambia,8.620689655,91.37931034
GNB,Guinea-Bissau,13.7254902,86.2745098
GNQ,Equatorial Guinea,20.34883721,79.65116279
GRC,Greece,21.66666667,78.33333333
GRD,Grenada,32.14285714,67.85714286
GTM,Guatemala,19.375,80.625
GUY,Guyana,35.71428571,64.28571429
HKG,"Hong Kong, China (SAR)",,
HND,Honduras,27.34375,72.65625
HRV,Croatia,31.12582781,68.87417219
HTI,Haiti,2.739726027,97.26027397
HUN,Hungary,13.06532663,86.93467337
IDN,Indonesia,21.04347826,78.95652174
IND,India,13.44430218,86.55569782
IRL,Ireland,27.27272727,72.72727273
IRN,Iran (Islamic Republic of),5.594405594,94.40559441
IRQ,Iraq,28.87537994,71.12462006
ISL,Iceland,47.61904762,52.38095238
ITA,Italy,35.26315789,64.73684211
JAM,Jamaica,30.95238095,69.04761905
JOR,Jordan,11.79487179,88.20512821
JPN,Japan,14.24541608,85.75458392
KAZ,Kazakhstan,24.51612903,75.48387097
KEN,Kenya,23.24455206,76.75544794
KGZ,Kyrgyzstan,20.45454545,79.54545455
KHM,Cambodia,19.78609626,80.21390374
KIR,Kiribati,6.666666667,93.33333333
KNA,Saint Kitts and Nevis,25,75
KOR,Korea (Republic of),19,81
KWT,Kuwait,1.538461538,98.46153846
LAO,Lao People's Democratic Republic,21.95121951,78.04878049
LBN,Lebanon,4.6875,95.3125
LBR,Liberia,9.708737864,90.29126214
LBY,Libya,15.95744681,84.04255319
LCA,Saint Lucia,24.13793103,75.86206897
LIE,Liechtenstein,28,72
LKA,Sri Lanka,5.381165919,94.61883408
LSO,Lesotho,22.87581699,77.12418301
LTU,Lithuania,27.65957447,72.34042553
LUX,Luxembourg,35,65
LVA,Latvia,29,71
MAR,Morocco,20.38834951,79.61165049
MCO,Monaco,33.33333333,66.66666667
MDA,Moldova (Republic of),39.6039604,60.3960396
MDG,Madagascar,17.15976331,82.84023669
MDV,Maldives,4.597701149,95.40229885
MEX,Mexico,49.84076433,50.15923567
MHL,Marshall Islands,6.060606061,93.93939394
MKD,North Macedonia,41.66666667,58.33333333
MLI,Mali,27.27272727,72.72727273
MLT,Malta,13.43283582,86.56716418
MMR,Myanmar,14.97659906,85.02340094
MNE,Montenegro,24.69135802,75.30864198
MNG,Mongolia,17.10526316,82.89473684
MOZ,Mozambique,42.4,57.6
MRT,Mauritania,20.26143791,79.73856209
MUS,Mauritius,20,80
MWI,Malawi,22.91666667,77.08333333
MYS,Malaysia,14.85507246,85.14492754
NAM,Namibia,35.61643836,64.38356164
NER,Niger,25.90361446,74.09638554
NGA,Nigeria,4.47761194,95.52238806
NIC,Nicaragua,50.54945055,49.45054945
NLD,Netherlands,39.11111111,60.88888889
NOR,Norway,44.9704142,55.0295858
NPL,Nepal,33.63363363,66.36636637
NRU,Nauru,10.52631579,89.47368421
NZL,New Zealand,49.16666667,50.83333333
OMN,Oman,9.88372093,90.11627907
PAK,Pakistan,19.90950226,80.09049774
PAN,Panama,22.53521127,77.46478873
PER,Peru,40,60
PHL,Philippines,28.04878049,71.95121951
PLW,Palau,6.896551724,93.10344828
PNG,Papua New Guinea,0,100
POL,Poland,27.54919499,72.45080501
PRK,Korea (Democratic People's Rep. of),17.61280932,82.38719068
PRT,Portugal,40,60
PRY,Paraguay,16.8,83.2
PSE,"Palestine, State of",,
QAT,Qatar,4.444444444,95.55555556
ROU,Romania,18.49462366,81.50537634
RUS,Russian Federation,16.4516129,83.5483871
RWA,Rwanda,55.66037736,44.33962264
SAU,Saudi Arabia,19.86754967,80.13245033
SDN,Sudan,31.04166667,68.95833333
SEN,Senegal,43.03030303,56.96969697
SGP,Singapore,29.80769231,70.19230769
SLB,Solomon Islands,8,92
SLE,Sierra Leone,12.32876712,87.67123288
SLV,El Salvador,27.38095238,72.61904762
SMR,San Marino,33.33333333,66.66666667
SOM,Somalia,24.62006079,75.37993921
SRB,Serbia,39.2,60.8
SSD,South Sudan,32.33438486,67.66561514
STP,Sao Tome and Principe,23.63636364,76.36363636
SUR,Suriname,29.41176471,70.58823529
SVK,Slovakia,22.66666667,77.33333333
SVN,Slovenia,21.53846154,78.46153846
SWE,Sweden,46.99140401,53.00859599
SWZ,Eswatini (Kingdom of),18.44660194,81.55339806
SYC,Seychelles,22.85714286,77.14285714
SYR,Syrian Arab Republic,11.2,88.8
TCD,Chad,32.25806452,67.74193548
TGO,Togo,18.68131868,81.31868132
THA,Thailand,13.93775372,86.06224628
TJK,Tajikistan,23.40425532,76.59574468
TKM,Turkmenistan,25,75
TLS,Timor-Leste,38.46153846,61.53846154
TON,Tonga,0,100
TTO,Trinidad and Tobago,32.43243243,67.56756757
TUN,Tunisia,26.26728111,73.73271889
TUR,Turkey,17.33333333,82.66666667
TUV,Tuvalu,6.25,93.75
TZA,Tanzania (United Republic of),36.8556701,63.1443299
UGA,Uganda,33.81294964,66.18705036
UKR,Ukraine,20.80378251,79.19621749
URY,Uruguay,26.15384615,73.84615385
USA,United States,26.96629213,73.03370787
UZB,Uzbekistan,28.74493927,71.25506073
VCT,Saint Vincent and the Grenadines,18.18181818,81.81818182
VEN,Venezuela (Bolivarian Republic of),22.15568862,77.84431138
